dex_id	national_id	Pokemon	type1	type2	form_tag	hp	atk	def	spa	spd	spe	ability1	ability2	hidden_ability	evo_from	evo_method	evo_into	location	catch_rate	gender_ratio	egg_group1	egg_group2	description
135	195	Quagsire	Water	Ground																			
136	980	Clodsire	Poison	Ground																			
137	948	Toedscool	Ground	Grass																			
138	949	Toedscruel	Ground	Grass																			
139	522	Blitzle	Electric																				
140	523	Zebstrika	Electric																				
141	163	Hoothoot	Normal	Flying																			
142	164	Noctowl	Ghost	Flying																			
142	164	Mega Noctowl	Ghost	Flying																			
143	619	Mienfoo	Fighting																				
144	620	Mienshao	Fighting																				
145	955	Flittle	Psychic																				
146	956	Espathra	Psychic																				
147	37	Vulpix	Fire	Fairy																			
147	37	Alolan Vulpix	Ice	Fairy																			
148	38	Ninetales	Fire	Fairy																			
148	38	Alolan Ninetales	Ice	Fairy																			
149	679	Honedge	Steel	Ghost																			
150	680	Doublade	Steel	Ghost																			
151	681	Aegislash	Steel	Ghost																			
151	681	Aegislash Blade	Steel	Ghost																			
152	557	Dwebble	Bug	Rock																			
153	558	Crustle	Bug	Rock																			
154	774	Minior	Rock	Flying																			
154	774	Minior Core	Rock	Flying																			
155	92	Gastly	Ghost	Poison																			
156	93	Haunter	Ghost	Poison																			
157	94	Gengar	Ghost	Poison																			
157	94	Mega Gengar	Ghost	Poison																			
158	343	Baltoy	Ground	Psychic																			
159	344	Claydol	Ground	Psychic																			
160	757	Salandit	Poison	Fire																			
161	758	Salazzle	Poison	Fire																			
162	963	Finizen	Water																				
163	964	Palafin	Water																				
163	964	Hero Palafin	Water																				
164	175	Togepi	Fairy																				
165	176	Togetic	Fairy	Flying																			
166	468	Togekiss	Fairy	Flying																			
167	420	Cherubi	Grass																				
168	421	Cherrim	Grass	Fire																			
168	421	Cherrim Sunny	Grass	Fire																			
169	228	Houndour	Dark	Fire																			
170	229	Houndoom	Dark	Fire																			
170	229	Mega Houndoom	Dark	Fire																			
171	138	Omanyte	Rock	Water																			
172	139	Omastar	Rock	Water																			
173	140	Kabuto	Rock	Water																			
174	141	Kabutops	Rock	Water																			
175	451	Skorupi	Poison	Bug																			
176	452	Drapion	Poison	Dark																			
177	167	Spinarak	Bug	Poison																			
178	168	Ariados	Bug	Poison																			
179	95	Onix	Rock	Ground																			
180	208	Steelix	Steel	Ground																			
180	208	Mega Steelix	Steel	Ground																			
181	775	Komala	Normal																				
182	278	Wingull	Water	Flying																			
183	279	Pelipper	Water	Flying																			
184	234	Stantler	Normal																				
185	899	Wyrdeer	Normal	Psychic																			
185	899	Mega Wyrdeer	Normal	Psychic																			
186	361	Snorunt	Ice																				
187	362	Glalie	Ice																				
187	362	Mega Glalie	Ice																				
188	478	Froslass	Ice	Ghost																			
188	478	Mega Froslass	Ice	Ghost																			
189	363	Spheal	Ice	Water																			
190	364	Sealeo	Ice	Water																			
191	365	Walrein	Ice	Water																			
192	86	Seel	Water	Ice																			
193	87	Dewgong	Water	Ice																			
194	436	Bronzor	Steel	Psychic																			
195	437	Bronzong	Steel	Psychic																			
196	878	Cufant	Steel	Normal																			
197	879	Copperajah	Steel	Normal																			
197	879	Mega Copperajah	Steel	Normal																			
198	570	Zorua	Dark																				
198	570	Hisuian Zorua	Normal	Ghost																			
199	571	Zoroark	Dark																				
199	571	Hisuian Zoroark	Normal	Ghost																			
200	215	Sneasel	Dark	Ice																			
200	215	Hisuian Sneasel	Poison	Fighting																			
201	461	Weavile	Dark	Ice																			
202	903	Sneasler	Fighting	Poison																			
203	696	Tyrunt	Rock	Dragon																			
204	697	Tyrantrum	Rock	Dragon																			
205	698	Amaura	Rock	Ice																			
206	699	Aurorus	Rock	Ice																			
207	52	Meowth	Normal																				
207	52	Alolan Meowth	Dark																				
207	52	Galarian Meowth	Steel																				
208	53	Persian	Normal																				
208	53	Alolan Persian	Dark																				
209	863	Perrserker	Steel																				
210	417	Pachirisu	Electric																				
211	152	Chikorita	Grass																				
212	153	Bayleef	Grass																				
213	154	Meganium	Grass	Fairy																			
213	154	Mega Meganium	Grass	Fairy																			
214	155	Cyndaquil	Fire																				
215	156	Quilava	Fire																				
216	157	Typhlosion	Fire	Ground																			
216	157	Hisuian Typhlosion	Fire	Ghost																			
217	158	Totodile	Water																				
218	159	Croconaw	Water																				
219	160	Feraligatr	Water	Dark																			
219	160	Mega Feraligatr	Water	Dragon																			
220	782	Jangmo-o	Dragon																				
221	783	Hakamo-o	Dragon	Fighting																			
222	784	Kommo-o	Dragon	Fighting																			
223	701	Hawlucha	Fighting	Flying																			
223	701	Mega Hawlucha	Fighting	Flying																			
224	850	Sizzlipede	Fire	Bug																			
224	128	Paldean Tauros (Combat)	Fighting																				
224	128	Paldean Tauros (Blaze)	Fighting	Fire																			
224	128	Paldean Tauros (Aqua)	Fighting	Water																			
225	851	Centiskorch	Fire	Bug																			
225	851	Mega Centiskorch	Fire	Bug																			
226	408	Cranidos	Rock																				
227	409	Rampardos	Rock																				
228	410	Shieldon	Rock	Steel																			
229	411	Bastiodon	Rock	Steel																			
230	442	Spiritomb	Ghost	Dark																			
231	835	Yamper	Electric																				
232	836	Boltund	Electric																				
233	921	Pawmi	Electric																				
234	922	Pawmo	Electric	Fighting																			
235	923	Pawmot	Electric	Fighting																			
236	944	Shroodle	Poison	Normal																			
237	945	Grafaiai	Poison	Normal																			
238	418	Buizel	Water																				
239	419	Floatzel	Water																				
240	434	Stunky	Poison	Dark																			
241	435	Skuntank	Poison	Dark																			
242	940	Wattrel	Electric	Flying																			
243	941	Kilowattrel	Electric	Flying																			
244	128	Tauros	Normal																				
245	967	Cyclizar	Dragon	Normal																			
245	967	Mega Cyclizar S	Dragon	Fighting																			
245	967	Mega Cyclizar V	Dragon	Electric																			
246	767	Wimpod	Bug	Water																			
247	768	Golisopod	Bug	Water																			
248	172	Pichu	Electric																				
248	172	Spiky-Eared Pichu	Electric																				
249	25	Pikachu	Electric																				
250	26	Raichu	Electric																				
250	26	Alolan Raichu	Electric	Psychic																			
250	26	Mega Raichu X	Electric																				
250	26	Mega Raichu Y	Electric																				
251	778	Mimikyu	Ghost	Fairy																			
252	77	Ponyta	Fire																				
252	77	Galarian Ponyta	Psychic																				
253	78	Rapidash	Fire																				
253	78	Galarian Rapidash	Psychic	Fairy																			
254	222	Corsola	Water	Rock																			
254	222	Galarian Corsola	Ghost	Rock																			
255	864	Cursola	Ghost	Rock																			
256	456	Finneon	Water	Fairy																			
257	457	Lumineon	Water	Fairy																			
258	320	Wailmer	Water																				
259	321	Wailord	Water																				
260	72	Tentacool	Water	Poison																			
261	73	Tentacruel	Water	Poison																			
262	692	Clauncher	Water																				
263	693	Clawitzer	Water																				
264	123	Scyther	Bug	Flying																			
265	212	Scizor	Bug	Steel																			
265	212	Mega Scizor	Bug	Steel																			
266	900	Kleavor	Bug	Rock																			
267	759	Stufful	Normal	Fighting																			
268	760	Bewear	Normal	Fighting																			
269	885	Dreepy	Dragon	Ghost																			
270	886	Drakloak	Dragon	Ghost																			
271	887	Dragapult	Dragon	Ghost																			
272	777	Togedemaru	Electric	Steel																			
273	739	Crabrawler	Fighting																				
274	740	Crabominable	Fighting	Ice																			
275	345	Lileep	Rock	Grass																			
276	346	Cradily	Rock	Grass																			
277	347	Anorith	Rock	Bug																			
278	348	Armaldo	Rock	Bug																			
279	702	Dedenne	Electric	Fairy																			
280	441	Chatot	Normal	Flying																			
281	307	Meditite	Fighting	Psychic																			
282	308	Medicham	Fighting	Psychic																			
282	308	Mega Medicham	Fighting	Psychic																			
283	96	Drowzee	Psychic																				
284	97	Hypno	Psychic	Dark																			
285	23	Ekans	Poison	Dark																			
286	24	Arbok	Poison	Dark																			
287	550	Basculin Red	Water																				
287	550	Basculin Blue	Water																				
287	550	Basculin White	Water																				
288	902	Basculegion?	Water	Ghost																			
288	902	Basculegion?	Water	Ghost																			
289	674	Pancham	Fighting																				
290	675	Pangoro	Fighting	Dark																			
290	675	Mega Pangoro	Fighting	Dark																			
291	690	Skrelp	Poison	Water																			
292	691	Dragalge	Poison	Dragon																			
292	691	Mega Dragalge	Poison	Dragon																			
293	574	Gothita	Psychic																				
294	575	Gothorita	Psychic																				
295	576	Gothitelle	Psychic																				
296	577	Solosis	Psychic																				
297	578	Duosion	Psychic																				
298	579	Reuniclus	Psychic																				
299	607	Litwick	Ghost	Fire																			
300	608	Lampent	Ghost	Fire																			
301	609	Chandelure	Ghost	Fire																			
301	609	Mega Chandelure	Ghost	Fire																			
302	935	Charcadet	Fire																				
303	936	Armarouge	Fire	Psychic																			
304	937	Ceruledge	Fire	Ghost																			
305	170	Chinchou	Water	Electric																			
306	171	Lanturn	Water	Electric																			
307	90	Shellder	Water																				
308	91	Cloyster	Water	Ice																			
309	366	Clamperl	Water																				
310	367	Huntail	Water	Dragon																			
311	368	Gorebyss	Water	Fairy																			
312	669	Flabébé	Fairy																				
313	670	Floette	Fairy																				
313	670	Eternal Flower Floette	Fairy																				
314	671	Florges	Fairy																				
315	174	Igglybuff	Normal	Fairy																			
316	39	Jigglypuff	Normal	Fairy																			
317	40	Wigglytuff	Normal	Fairy																			
318	694	Helioptile	Electric	Normal																			
319	695	Heliolisk	Electric	Normal																			
319	695	Mega Heliolisk	Electric	Normal																			
320	870	Falinks	Fighting	Bug																			
320	870	Mega Falinks	Fighting	Steel																			
321	328	Trapinch	Ground																				
322	329	Vibrava	Ground	Dragon																			
323	330	Flygon	Ground	Dragon																			
323	330	Mega Flygon	Bug	Dragon																			
324	84	Doduo	Ground	Flying																			
325	85	Dodrio	Ground	Flying																			
326	957	Tinkatink	Fairy	Steel																			
327	958	Tinkatuff	Fairy	Steel																			
328	959	Tinkaton	Fairy	Steel																			
328	959	Mega Tinkaton	Fairy	Steel																			
329	559	Scraggy	Dark	Fighting																			
330	560	Scrafty	Dark	Fighting																			
330	560	Mega Scrafty	Dark	Fighting																			
331	207	Gligar	Ground	Flying																			
332	472	Gliscor	Ground	Flying																			
333	324	Torkoal	Fire																				
334	322	Numel	Fire	Ground																			
335	323	Camerupt	Fire	Ground																			
335	323	Mega Camerupt	Fire	Ground																			
336	369	Relicanth	Water	Rock																			
337	339	Barboach	Water	Ground																			
338	340	Whiscash	Water	Ground																			
339	517	Munna	Psychic																				
340	518	Musharna	Psychic																				
341	352	Kecleon	Normal																				
342	129	Magikarp	Water																				
343	130	Gyarados	Water	Flying																			
343	130	Mega Gyarados	Water	Dark																			
344	753	Fomantis	Grass																				
345	754	Lurantis	Grass																				
346	765	Oranguru	Normal	Psychic																			
347	766	Passimian	Normal	Fighting																			
348	263	Zigzagoon	Normal																				
348	263	Galarian Zigzagoon	Dark	Normal																			
349	264	Linoone	Normal																				
349	264	Galarian Linoone	Dark	Normal																			
350	862	Obstagoon	Dark	Normal																			
351	704	Goomy	Dragon																				
352	705	Sliggoo	Dragon																				
352	705	Hisuian Sliggoo	Dragon	Steel																			
353	706	Goodra	Dragon																				
353	706	Hisuian Goodra	Dragon	Steel																			
354	779	Bruxish	Water	Psychic																			
355	859	Impidimp	Dark	Fairy																			
356	860	Morgrem	Dark	Fairy																			
357	861	Grimmsnarl	Dark	Fairy																			
357	861	Mega Grimmsnarl	Dark	Fairy																			
358	333	Swablu	Flying	Fairy																			
359	334	Altaria	Dragon	Fairy																			
359	334	Mega Altaria	Dragon	Fairy																			
360	56	Mankey	Fighting																				
361	57	Primeape	Fighting																				
362	979	Annihilape	Fighting	Ghost																			
363	100	Voltorb	Electric																				
363	100	Hisuian Voltorb	Electric	Grass																			
364	101	Electrode	Electric																				
364	101	Hisuian Electrode	Electric	Grass																			
365	131	Lapras	Water	Ice																			
365	131	Mega Lapras	Water	Ice																			
366	203	Girafarig	Normal	Psychic																			
367	981	Farigiraf	Normal	Psychic																			
368	69	Bellsprout	Grass	Poison																			
369	70	Weepinbell	Grass	Poison																			
370	71	Victreebel	Grass	Poison																			
370	71	Mega Victreebel	Grass	Poison																			
371	81	Magnemite	Electric	Steel																			
372	82	Magneton	Electric	Steel																			
373	462	Magnezone	Electric	Steel																			
374	613	Cubchoo	Ice																				
375	614	Beartic	Ice																				
376	58	Growlithe	Fire																				
376	58	Hisuian Growlithe	Fire	Rock																			
377	59	Arcanine	Fire																				
377	59	Hisuian Arcanine	Fire	Rock																			
378	54	Psyduck	Water																				
379	55	Golduck	Water	Psychic																			
380	193	Yanma	Bug	Flying																			
381	469	Yanmega	Bug	Dragon																			
382	142	Aerodactyl	Rock	Flying																			
382	142	Mega Aerodactyl	Rock	Flying																			
383	223	Remoraid	Water																				
384	224	Octillery	Water	Fire																			
385	627	Rufflet	Normal	Flying																			
386	628	Braviary	Normal	Flying																			
386	628	Hisuian Braviary	Psychic	Flying																			
387	667	Litleo	Fire	Normal																			
388	668	Pyroar?	Fire	Normal																			
389	668	Pyroar?	Fire	Normal																			
390	177	Natu	Psychic	Flying																			
391	178	Xatu	Psychic	Flying																			
392	459	Snover	Grass	Ice																			
393	460	Abomasnow	Grass	Ice																			
393	460	Mega Abomasnow	Grass	Ice																			
394	355	Duskull	Ghost																				
395	356	Dusclops	Ghost																				
396	477	Dusknoir	Ghost																				
397	220	Swinub	Ice	Ground																			
398	221	Piloswine	Ice	Ground																			
399	473	Mamoswine	Ice	Ground																			
400	341	Corphish	Water																				
401	342	Crawdaunt	Water	Dark																			
402	764	Comfey	Fairy	Grass																			
403	201	Unown	Psychic																				
404	564	Tirtouga	Water	Rock																			
405	565	Carracosta	Water	Rock																			
406	566	Archen	Rock	Flying																			
407	567	Archeops	Rock	Flying																			
407	567	Mega Archeops	Rock	Flying																			
408	880	Dracozolt	Electric	Dragon																			
409	881	Arctozolt	Electric	Ice																			
410	882	Dracovish	Water	Dragon																			
411	883	Arctovish	Water	Ice																			
412	772	Type: Null	Normal																				
413	773	Silvally	Normal																				
414	246	Larvitar	Rock	Ground																			
415	247	Pupitar	Rock	Ground																			
416	248	Tyranitar	Rock	Dark																			
416	248	Mega Tyranitar	Rock	Dark																			
417	781	Dhelmise	Ghost	Grass																			
418	147	Dratini	Dragon																				
419	148	Dragonair	Dragon	Water																			
420	149	Dragonite	Dragon	Flying																			
420	149	Mega Dragonite	Dragon	Flying																			
421	243	Raikou	Electric																				
422	1021	Raging Bolt	Electric	Dragon																			
423	244	Entei	Fire																				
424	1020	Gouging Fire	Fire	Dragon																			
425	245	Suicune	Water																				
426	1009	Walking Wake	Water	Dragon																			
427	382	Kyogre	Water																				
427	382	Primal Kyogre	Water																				
428	383	Groudon	Ground																				
428	383	Primal Groudon	Ground	Fire																			
429	384	Rayquaza	Dragon	Flying																			
429	384	Mega Rayquaza	Dragon	Flying																			
430	1017	Ogerpon	Grass																				
430	1017	Ogerpon Cornerstone	Grass	Rock																			
430	1017	Ogerpon Hearthflame	Grass	Fire																			
430	1017	Ogerpon Wellspring	Grass	Water																			
